,0,1,2,3,4,5,6,7,8,9
0,720,737,671,737,749,620,619,773,678,696
1,695,704,680,732,726,649,619,760,747,688
2,706,740,668,760,715,609,635,735,727,705
3,715,747,710,761,722,613,606,726,737,663
4,682,746,671,742,724,622,651,746,707,709
5,691,743,680,758,741,625,627,746,710,679
6,698,715,664,738,742,631,635,743,715,719
7,700,741,694,721,746,608,624,748,699,719
8,674,749,705,739,719,615,616,736,732,715
9,681,767,686,761,718,591,638,741,727,690
10,709,722,696,741,714,625,636,759,714,684
11,706,721,665,763,727,599,635,739,740,705
12,705,715,696,747,711,643,626,727,731,699
13,676,739,684,761,751,639,617,738,721,674
14,741,718,673,754,716,633,630,741,707,687
15,716,741,700,720,734,607,640,749,685,708
16,730,714,660,759,724,631,625,735,701,721
17,709,746,675,744,728,643,624,741,709,681
18,718,728,691,754,752,616,637,746,698,660
19,703,732,700,759,737,596,622,727,695,729
20,685,738,678,749,718,631,624,737,721,719
21,697,719,691,750,726,623,648,739,720,687
22,690,751,682,769,730,622,627,725,723,681
23,698,761,682,711,751,647,607,737,713,693
24,681,727,689,767,724,663,608,717,737,687
25,693,760,688,746,735,620,617,762,703,676
26,689,721,693,738,749,608,634,741,715,712
27,706,713,681,760,751,621,594,764,698,712
28,722,741,682,743,729,629,622,737,699,696
29,730,712,687,751,728,604,613,762,722,691
30,719,713,656,776,720,617,617,745,699,738
31,682,717,715,748,721,612,623,740,726,716
32,699,723,688,738,728,644,612,728,728,712
33,725,723,682,759,725,619,643,720,710,694
34,708,733,713,758,736,599,626,720,712,695
35,709,761,694,739,732,630,627,741,693,674
36,696,758,683,735,732,615,639,737,689,716
37,697,718,680,750,732,645,622,743,716,697
38,699,726,701,734,713,634,631,726,722,714
39,717,754,675,751,733,609,623,739,718,681
40,699,712,675,759,751,610,655,729,723,687
41,693,733,679,732,755,635,628,725,712,708
42,704,730,691,761,738,605,612,727,724,708
43,704,718,697,747,731,609,622,752,711,709
44,716,747,690,739,739,610,632,755,705,667
45,692,716,690,757,735,632,627,744,692,715
46,686,730,689,753,735,630,637,737,689,714
47,731,733,685,734,710,638,624,727,726,692
48,727,737,686,727,704,615,652,737,711,704
49,723,720,676,755,733,622,624,731,727,689
50,708,741,692,736,746,629,612,735,702,699
51,680,735,682,730,738,613,625,736,727,734
52,710,725,687,780,723,602,612,732,721,708
53,709,717,677,759,735,633,621,731,719,699
54,732,710,669,774,716,652,629,744,680,694
55,697,761,671,754,719,607,626,752,723,690
56,697,762,676,750,748,624,576,772,717,678
57,715,750,703,769,727,634,625,740,669,668
58,698,693,700,737,741,626,654,743,711,697
59,700,724,646,759,713,639,660,738,710,711
60,697,724,696,725,741,606,627,745,734,705
61,685,728,671,770,749,632,626,758,696,685
62,717,740,676,743,728,643,601,747,689,716
63,710,749,677,753,740,645,638,724,674,690
64,693,720,694,747,744,612,620,752,719,699
65,674,740,688,742,741,637,616,715,733,714
66,709,724,705,744,700,622,653,731,726,686
67,724,720,692,751,744,632,603,722,691,721
68,704,724,691,743,746,629,665,725,694,679
69,708,732,663,759,722,644,635,718,713,706
70,712,751,690,752,719,601,627,731,733,684
71,689,734,691,717,757,632,639,734,712,695
72,707,729,680,737,718,642,631,726,705,725
73,701,731,685,748,728,608,639,751,728,681
74,694,719,686,740,732,628,613,760,730,698
75,692,719,687,746,750,610,646,735,723,692
76,679,722,683,750,746,646,642,758,691,683
77,684,719,688,759,721,621,590,763,738,717
78,710,709,653,764,718,644,619,743,728,712
79,698,718,667,753,761,631,626,732,687,727
80,710,730,682,766,690,634,604,731,725,728
81,714,737,681,737,724,644,612,747,699,705
82,697,740,680,779,711,598,604,774,733,684
83,723,748,663,745,724,631,625,748,711,682
84,676,715,698,739,750,616,627,765,722,692
85,713,762,644,727,708,636,629,770,703,708
86,677,732,677,746,737,631,644,749,733,674
87,688,734,678,759,737,621,641,739,696,707
88,717,732,684,742,738,623,612,738,711,703
89,714,717,705,758,731,645,619,725,709,677
90,714,746,683,730,745,626,623,734,692,707
91,694,739,670,751,721,627,637,755,721,685
92,695,736,688,744,722,627,623,744,706,715
93,719,731,678,743,727,651,612,726,706,707
94,696,740,704,743,743,631,595,742,716,690
95,721,747,701,732,734,580,644,741,695,705
96,709,734,672,739,748,619,600,744,713,722
97,694,727,693,760,717,604,626,748,720,711
98,704,748,683,735,732,620,619,736,731,692
99,715,746,663,766,723,626,602,747,729,683
100,688,714,687,764,724,671,624,719,716,693
101,708,730,673,733,722,587,622,775,712,738
102,699,759,677,748,720,607,641,731,716,702
103,707,724,715,739,749,640,606,725,733,662
104,686,741,686,758,755,610,590,738,724,712
105,689,740,678,749,714,622,614,775,683,736
106,715,742,714,740,743,619,605,728,703,691
107,709,739,683,749,736,632,615,747,702,688
108,720,734,669,755,707,616,623,732,738,706
109,700,729,702,743,715,642,625,749,716,679
110,706,747,679,747,736,634,593,750,725,683
111,702,741,713,747,717,609,615,743,703,710
112,693,749,676,769,744,624,600,729,736,680
113,689,739,685,751,750,614,630,743,709,690
114,709,748,666,742,740,640,611,762,701,681
115,700,762,663,750,740,625,629,732,718,681
116,705,728,670,741,745,626,611,731,719,724
117,702,731,668,734,738,631,606,751,718,721
118,683,753,674,716,704,664,658,731,700,717
119,713,733,681,752,729,617,624,728,695,728
120,678,742,706,761,732,637,618,729,717,680
121,673,721,693,743,730,627,633,730,731,719
122,707,744,686,746,715,638,603,747,703,711
123,705,759,699,738,728,616,609,745,703,698
124,702,726,676,761,742,625,631,712,719,706
125,709,738,673,737,722,620,613,758,719,711
126,720,713,688,755,718,633,625,758,701,689
127,682,759,683,767,735,632,627,738,694,683
128,673,732,703,749,738,621,620,761,706,697
129,691,729,676,775,735,627,632,758,708,669
130,713,733,714,767,713,606,606,762,718,668
131,699,776,683,752,707,628,593,763,708,691
132,728,723,707,753,713,583,658,730,713,692
133,686,730,692,740,747,636,616,753,729,671
134,682,749,670,729,703,624,624,777,700,742
135,699,722,657,760,756,603,611,767,702,723
136,709,751,701,743,743,613,601,722,716,701
137,699,742,698,742,736,627,630,734,707,685
138,707,734,669,764,735,640,577,755,707,712
139,697,748,691,761,724,599,593,732,731,724
140,697,716,705,746,734,616,633,740,739,674
141,680,736,688,746,721,610,642,758,704,715
142,711,710,695,747,755,638,586,745,692,721
143,682,730,706,778,713,622,607,724,736,702
144,705,749,668,757,741,615,605,739,711,710
145,701,719,691,772,720,635,620,721,729,692
146,705,731,704,764,734,602,612,745,703,700
147,699,733,656,737,739,627,637,711,738,723
148,693,729,682,729,748,626,619,758,730,686
149,699,734,691,765,715,618,631,743,681,723
150,722,741,702,727,713,634,623,742,725,671
151,714,716,701,769,744,615,609,717,714,701
152,711,726,702,741,744,608,573,765,714,716
153,708,743,697,748,722,600,618,748,731,685
154,716,732,677,758,708,636,637,734,717,685
155,674,726,694,735,743,620,634,778,689,707
156,717,714,679,745,744,633,640,741,706,681
157,710,747,664,754,746,616,632,746,706,679
158,697,735,645,739,732,643,640,771,718,680
159,682,747,697,737,745,607,611,731,735,708
160,685,742,685,734,728,637,627,745,707,710
161,710,753,685,732,759,587,636,736,707,695
162,660,731,680,754,748,618,637,764,710,698
163,712,762,693,751,693,621,645,747,704,672
164,720,750,673,737,733,622,608,749,725,683
165,673,726,693,763,717,631,612,741,719,725
166,693,735,690,745,720,621,620,750,720,706
167,707,744,679,764,747,612,589,733,720,705
168,720,729,649,768,741,612,609,747,714,711
169,718,722,647,740,740,628,633,742,718,712
170,675,745,692,750,743,644,639,721,698,693
171,721,723,680,748,739,636,624,728,696,705
172,697,730,682,749,714,632,630,753,719,694
173,705,722,667,729,741,621,607,757,714,737
174,688,733,697,733,740,626,637,745,722,679
175,692,756,679,760,733,625,618,750,720,667
176,693,743,671,722,754,604,632,768,712,701
177,687,743,696,734,733,640,607,739,727,694
178,735,749,668,768,714,621,600,717,738,690
179,668,731,702,767,730,640,633,722,708,699
180,684,744,678,769,717,617,619,756,737,679
181,674,725,692,742,759,621,637,731,730,689
182,696,737,684,738,732,641,662,710,722,678
